"Term","Frequency","Correlation"
"majesti",42,0.750324931260555
"subject",23,0.601858945962876
"promis",28,0.573331896717132
"subscrib",16,0.556067236197047
"indian",45,0.554457648364561
"observ",17,0.550824927573847
"conduct",15,0.546320251675447
"treati",22,0.546109927945476
"conclud",21,0.534623589803162
"gracious",16,0.520906296966741
"obtain",16,0.508293473497981
"taken",14,0.508164445327066
"cede",17,0.503212710910997
"perform",15,0.501071369309105
"defin",12,0.494155027422835
"therein",13,0.483615801662636
"herebi",41,0.481286238744502
"maintain",12,0.478479497436551
"stipul",13,0.476638749589119
"deliber",11,0.475407137706628
"right",33,0.474762996181146
"twine",9,0.471227092954389
"bounti",11,0.469767197643425
"deal",11,0.467190001142224
"behav",11,0.466008493677828
"strict",17,0.46577889582732
"proport",14,0.464915106476005
"within",26,0.464092831905148
"behaviour",10,0.456464894711757
"thing",10,0.455380764040446
"whether",10,0.450886099332649
"immigr",10,0.447963829226136
"said",46,0.446963099808278
"obey",10,0.446606827583783
"queen",13,0.44634684097344
"articl",19,0.446100562362679
"govern",19,0.445579125155789
"bring",16,0.444681925142913
"cash",9,0.441625613700096
"order",16,0.438019290964354
"notifi",13,0.43739300261903
"band",15,0.437136588118143
"school",10,0.436962597067416
"count",10,0.436013742191846
"loyal",10,0.432066402752464
"meet",12,0.430550364161722
"solemn",15,0.428702859192041
"assur",11,0.424697539792283
"accept",15,0.424573663280916
"caus",19,0.423623272589609
"past",8,0.423521038726331
"influenc",8,0.422667397907244
"mine",11,0.421006728260256
"suitabl",9,0.41754490062168
"benevol",11,0.414079472892897
"advis",10,0.414068128417236
"dollar",15,0.413095961541825
"build",9,0.411750513745266
"provis",12,0.410061463224236
"report",10,0.409695520302673
"distribut",12,0.409558189999449
"pursu",9,0.409185840605963
"month",11,0.409031065543448
"medal",8,0.40887941087226
"chosen",8,0.407250352596088
"much",10,0.403313253327568
"abid",10,0.40270881565513
"agricultur",9,0.402464613645008
"save",18,0.401360910998766
"practic",8,0.399958645636278
"time",23,0.399858919574242
"author",18,0.398062810736267
"conven",14,0.397718432942372
"ammunit",9,0.396035812630554
"throughout",11,0.392487197653968
"suppli",9,0.392481568713743
"show",9,0.391441584814449
"duli",16,0.391331498169447
"thereupon",8,0.390843404952212
"agre",30,0.389094217430775
"bull",8,0.388945368735286
"cloth",11,0.386136752627297
"prepar",8,0.384763410167851
"matter",13,0.380888270098919
"set",37,0.380196149351568
"satisfact",13,0.380167853770959
"respons",13,0.377692990599786
"file",8,0.376566403446791
"held",14,0.376235238220323
"actual",15,0.375693150970101
"enforc",7,0.375652213603592
"river",35,0.374360224707878
"intox",6,0.373413368343088
"liquor",6,0.373413368343088
"seem",12,0.371946741488994
"describ",27,0.370195594532852
"provid",19,0.36935452804171
"law",31,0.368871029168299
"winnipeg",7,0.368612517765899
"auger",7,0.367591479525161
"axe",7,0.367591479525161
"grindston",7,0.367591479525161
"punish",13,0.367197370269876
"appoint",18,0.36718510621773
"year",42,0.366964699740803
"census",6,0.365838453558918
"evil",6,0.365838453558918
"introduc",6,0.365838453558918
"compris",7,0.365252461860861
"addit",9,0.365097733052627
"dominion",14,0.364520709285848
"thereto",22,0.363814537570856
"saw",6,0.363706676684272
"attach",12,0.363666482470139
"five",28,0.363097467443651
"explain",16,0.362775577125394
"wherea",28,0.36167463225323
"forego",9,0.361080674715015
"section",6,0.360419997051386
"applic",6,0.359241748286568
"submiss",4,0.35896900738003
"inform",13,0.358757905555632
"request",18,0.358368895966901
"instruct",10,0.358142345675621
"smaller",12,0.357803110153753
"found",16,0.357477689265721
"person",26,0.357456734622677
"live",13,0.356772349181312
"harrow",7,0.356276993328563
"plough",7,0.356276993328563
"origin",9,0.35535763848139
"wherev",8,0.354560038412032
"assum",13,0.353221575163695
"cree",9,0.353158648014952
"travel",12,0.351629004185685
"sixti",11,0.351227448436817
"date",25,0.351069540368099
