"Term","Frequency","Correlation"
"unto",27,0.787117597482458
"successor",34,0.784470233275083
"heir",28,0.776969391203299
"third",30,0.71906548266009
"said",43,0.711387838923566
"confirm",24,0.705845759338924
"hundr",42,0.695828480508379
"nation",26,0.694066861382443
"georg",26,0.667280955226682
"receipt",14,0.665756140483967
"begin",27,0.661699477691305
"grant",29,0.655514859826608
"hold",31,0.64878701252768
"thousand",41,0.646022601891018
"forev",30,0.636792972279205
"warrior",10,0.634109410852235
"sell",20,0.629901241859774
"greet",8,0.62413176221113
"parcel",19,0.618452683158653
"present",39,0.611517255992099
"consider",36,0.606641024363535
"instrument",13,0.606350921713489
"emolu",7,0.600517732406707
"seven",24,0.599282445132408
"whereof",35,0.593123634239004
"britann",7,0.573062760021592
"pretend",6,0.571154210571104
"renounc",6,0.571154210571104
"certain",32,0.561174394804565
"descend",9,0.559380643972609
"give",21,0.555355943509668
"wood",21,0.553934353412386
"know",25,0.542185066879444
"execut",21,0.541327795893207
"rehears",5,0.537473518920164
"clear",12,0.535431126344138
"king",31,0.529923778126844
"tract",36,0.527312553364819
"upper",19,0.526592016568493
"dispos",21,0.523097219789711
"deliveri",9,0.511995587335153
"rest",9,0.503978618981211
"peopl",26,0.496971455953542
"princip",26,0.493898136663576
"mckee",6,0.491184023451171
"lord",34,0.484056745960251
"estim",10,0.478193632787253
"situat",26,0.473132243580922
"appurten",14,0.469618037381448
"absolv",4,0.469467532987442
"one",43,0.465273278087936
"acknowledg",34,0.464233139663492
"quebec",11,0.462759700874356
"sold",32,0.45464791121709
"valu",15,0.448559231751124
"water",25,0.447421468565392
"wind",8,0.445596411637521
"alexand",11,0.445329094056487
"languag",9,0.440145064979475
"premis",11,0.4337240406212
"bargain",13,0.425597694915434
"east",30,0.420290595440124
"alien",11,0.418063448035727
"behalf",36,0.41632242386453
"deputi",17,0.411019484903915
"pound",21,0.409093759352352
"wit",36,0.408610116683232
"inspector",8,0.406504285904674
"thereon",26,0.400404728543914
"fulli",24,0.394534306424143
"known",27,0.394259571995115
"call",23,0.393844025337859
"poster",11,0.391014254224728
"herebi",41,0.379038492223084
"intend",12,0.377094793505323
"fork",10,0.374275156504543
"togeth",22,0.372799859553552
"esquir",19,0.371455849006898
"nineti",7,0.369372372738947
"degre",17,0.367224283272438
"estat",9,0.362314319793464
"favour",13,0.358620211870361
"defend",15,0.357364967509642
"but",7,0.346805677844614
"read",14,0.346041063364949
"tree",7,0.343898110391519
"lie",21,0.343145227110634
"appertain",6,0.341833994577815
"behoof",4,0.340039705266113
"intersect",15,0.339988312301807
"revers",6,0.335228512649637
"chippawa",4,0.334667419645391
"side",27,0.334464035505934
"south",28,0.334012034827918
"hereaft",28,0.332345793450386
"seal",32,0.329661717501471
"open",21,0.326993174348873
"purchas",20,0.324227765608941
"rent",5,0.323852170233883
"outlet",9,0.322912674899269
"sovereign",6,0.322297590826987
"singular",10,0.32120902433968
"small",16,0.320274763257123
"remaind",9,0.319938074262385
"burlington",5,0.319323514244881
"peaceabl",3,0.319218313478164
"creek",16,0.317611564779102
"discharg",6,0.3169646859489
"thereof",34,0.314525643453903
"cours",18,0.312022781835187
"twelv",17,0.305310643770215
"quiet",4,0.303616254137077
"reign",13,0.303502583342511
"run",14,0.302473695202466
"till",7,0.302428165768356
"hereunto",33,0.30185746426026
"currenc",16,0.301444049098506
"demand",14,0.301244195663867
"shewn",3,0.297364854154528
"divest",2,0.296148359066253
"franc",4,0.294178554812623
"releas",24,0.291481740032723
"ecart",2,0.291316040279688
"soil",9,0.289361220337142
"capt",3,0.287410993301964
"station",4,0.28643375929044
"gift",4,0.283137153701353
"less",20,0.280741442889698
"messissagu",2,0.280625079613164
"sixtyeight",3,0.278030097900219
"tranch",4,0.276763916246542
"mississagu",5,0.276107593636971
"possess",14,0.275703599202179
"indentur",8,0.275111758353942
"enfeof",2,0.275005850300223
"enfeoff",2,0.275005850300223
"harmless",2,0.275005850300223
"incumbr",2,0.275005850300223
"indemnifi",2,0.275005850300223
"irrevoc",2,0.275005850300223
"deliv",20,0.274290213072742
"wabakanyn",2,0.273827713833372
"wabanip",2,0.273827713833372
"britain",23,0.272804516613149
"four",22,0.272288404220578
"stone",5,0.271374748770538
"fortyf",7,0.270396597527236
"thirtieth",5,0.270228400925524
"follow",36,0.26965989121595
"ireland",22,0.267770779898309
"privileg",26,0.267223416827133
"ninetysix",2,0.264697817177115
"brittannick",2,0.264164268405984
"women",5,0.264045203577826
"bank",17,0.262080113015544
"eightyfour",3,0.2614924650292
"enseal",3,0.260579021329127
"ninetyeight",4,0.257707764850836
"blanc",2,0.25721197604136
"boi",2,0.25721197604136
"price",13,0.256824852561902
"free",20,0.256251673217088
"administr",3,0.255544423712691
"executor",3,0.255544423712691
"pretenc",3,0.253496679092877
"seiz",3,0.253496679092877
"brant",2,0.25330308472256
"flamborough",2,0.25330308472256
"fifti",17,0.252559646379235
"mention",33,0.252401471105881
"near",19,0.252352803721161
"thenc",32,0.252103114772113
"montreal",16,0.249572976662577
"joseph",10,0.248038119862244
"chenail",1,0.248020695839643
"fro",1,0.248020695839643
"gunter",1,0.248020695839643
"pakeitchewans",1,0.248020695839643
"wapissejunkissycawpowa",1,0.248020695839643
"shill",10,0.247762739773439
"cheppewa",1,0.246704137353733
"clean",1,0.246704137353733
"delewar",1,0.246704137353733
"escunnisep",1,0.246704137353733
"lime",1,0.246704137353733
"detroit",4,0.243667188714805
"mile",34,0.243606760648926
"suffer",6,0.243187605515523
"hickori",2,0.242909973499585
"withal",2,0.242200353724618
"cariboux",1,0.241853420094563
"circumfer",1,0.241853420094563
"payenanassin",1,0.241853420094563
"payentanassin",1,0.241853420094563
"nineteen",4,0.24131926997668
"sachem",5,0.240830414410244
"breadth",4,0.240615379470399
"strike",5,0.239124708994881
"affect",6,0.2388815007369
"thirti",8,0.236175619883988
"twenti",14,0.235372794842145
"space",2,0.234789553845058
"rock",2,0.234014390196515
"former",11,0.233576157246126
"augustus",1,0.233208291279523
"beach",1,0.233208291279523
"indiand",1,0.233208291279523
"jone",1,0.233208291279523
"lamabinicon",1,0.233208291279523
"neck",1,0.233208291279523
"ninetyseven",1,0.233208291279523
"sixpenc",1,0.233208291279523
"thirtyseventh",1,0.233208291279523
"twentychain",1,0.233208291279523
"thame",3,0.232742260769563
"stream",15,0.232372419669792
"bar",1,0.230798983700425
"ninetyf",1,0.230798983700425
"okemapen",1,0.230798983700425
"potakquan",1,0.230798983700425
"tabandan",1,0.230798983700425
"tuli",1,0.230798983700425
"wanipan",1,0.230798983700425
"oxford",3,0.230364973131221
"southeastern",2,0.229225825454364
"empti",6,0.227969909736716
"river",34,0.22619400465359
"profit",5,0.224395136634273
