"Term","Importance"
"indian",16.3705914263707
"successor",15.6065493383953
"unto",13.8057774298118
"thousand",13.5089567754963
"hundr",12.9841592157463
"heir",12.9388524414595
"confirm",12.2669544505865
"grant",10.2607588203477
"pound",8.27665854975258
"nation",7.95972443979375
"third",7.79695161363052
"give",7.77204527281534
"ottawa",7.37426654772879
"hold",7.24618643021915
"settlement",7.12617730574517
"parcel",6.48765529665545
"present",6.25582075462268
"use",5.88347378178059
"said",5.83882085894187
"one",5.37988977227692
"father",5.37417589313428
"sound",5.34574487579838
"consider",5.19874221291588
"certain",5.01902189663788
"will",5.01641209470375
"peac",4.99194434714651
"control",4.90480339102075
"promis",4.75540500070649
"within",4.74199272230779
"protect",4.72348155448371
"made",4.56823716732411
"free",4.48492829850598
"subject",4.455439314329
"upon",4.43554364348681
"inhabit",4.41049205145442
"receipt",4.2555585588208
"wit",4.16707839071367
"seven",3.96657677390312
"conclud",3.9339576536819
"five",3.68425084771453
"molest",3.6755654574795
"know",3.67050399115249
"begin",3.53955338443401
"return",3.53593168778699
"surrend",3.48622211784777
"chippewa",3.4678312953959
"georg",3.46647757387354
"warrior",3.33815856126257
"observ",3.33039454685399
"strict",3.29865896336652
"number",3.248741048968
"pay",3.11368523945885
"come",3.10519067881103
"clear",2.91360714228609
"dominion",2.8912638248979
"bring",2.87771640713462
"great",2.8041090987805
"whereof",2.77152364658664
"manner",2.76694739501926
"tribe",2.7282907713246
"caus",2.64153347239171
"peopl",2.63353815512069
"majesti",2.57119543288615
"lord",2.55788477753245
"children",2.53540568907511
"two",2.42648748378865
"reserv",2.40563456178894
"make",2.3525933239534
"council",2.29290797404994
"herebi",2.26289063523804
"acknowledg",2.24883539168962
"ireland",2.20070500268969
"minist",2.19892259767248
"treati",2.19332484102214
"titl",2.1932052016065
"price",2.19280983140674
"cultiv",2.19179834149064
"term",2.16113905572686
"ten",2.14331708899883
"currenc",2.13291652614383
"king",2.13194172214969
"herein",2.11251230277268
"time",2.10723130415654
"forev",2.10588975738346
"parti",2.08218096077814
"demand",2.07980826034628
"enter",2.07490129434112
"trade",2.02583632833182
"fort",2.02120485607932
"yield",2.02061965135172
"aforesaid",2.01610766875312
"matter",1.9638063333333
"kingdom",1.95618844487111
"except",1.95188217392493
"set",1.94433593117794
"defend",1.9322778114751
"alien",1.90180113686365
"futur",1.87898595460826
"hath",1.8734871336638
"behalf",1.87101835488593
"princip",1.86678049975746
"propos",1.85689240091422
"year",1.85515803358671
"district",1.85155956295474
"tract",1.85086088792858
"civil",1.84254696345525
"men",1.84003417408241
"ever",1.83795025481809
"found",1.83707490700256
"forest",1.8354887980505
"other",1.82858247952402
"water",1.8049751895924
"april",1.80392205677387
"instrument",1.79701847368323
"requir",1.79076690782465
"child",1.79063925909768
"probabl",1.78353795313706
"just",1.78042114596123
"open",1.77575637574091
"instruct",1.77517950211281
"reason",1.76253040973132
"mention",1.76172855367869
"produc",1.7605622339284
"request",1.75596779608001
"east",1.75555937482102
"everi",1.73257494574216
"otherwis",1.73252868403664
"perpetu",1.73134306850506
"purpos",1.73022043244507
"import",1.72158924554769
"wood",1.69907182829751
"accept",1.69104344131466
"smaller",1.68444288110851
"repres",1.67410235631967
"resid",1.67183680126063
"report",1.65155762138136
"proceed",1.65052469828334
"kind",1.64821076433053
"twentytwo",1.64043882624519
"prepar",1.61436294987154
"shill",1.60938897236414
"deliveri",1.60791442500384
"niagara",1.6012209047554
"governor",1.59634048968201
"bargain",1.59619943749517
"say",1.59421468249256
"forego",1.59035237148877
"seem",1.58602759835926
"record",1.56530565535967
"emolu",1.56506662717363
"northwest",1.56493129697273
"way",1.56303920040376
"sent",1.55979331554121
