"Feature","Gain","Cover","Frequency"
"said",0.279108628786605,0.0219374456993918,0.0136986301369863
"first",0.255499375932719,0.00749348392701998,0.00547945205479452
"reserv",0.0989432112065925,0.0316029539530843,0.0191780821917808
"affix",0.087409269005589,0.0832971329278888,0.0712328767123288
"know",0.0718996557728306,0.0178105994787142,0.0136986301369863
"herebi",0.0688240564771957,0.00108601216333623,0.00273972602739726
"agre",0.0202096542666023,0.0111859252823632,0.00821917808219178
"allow",0.0140721090352226,0.0535403996524761,0.0356164383561644
"make",0.0132110796837387,0.00619026933101651,0.010958904109589
"herein",0.0122198545582536,0.00293223284100782,0.00273972602739726
"district",0.0104699366192726,0.00477845351867941,0.00547945205479452
"solemn",0.0101216839870268,0.00586446568201564,0.00547945205479452
"acknowledg",0.00947990926724313,0.00640747176368375,0.0191780821917808
"part",0.00570773200761233,0.0100999131190269,0.0164383561643836
"payment",0.00484918740729661,0.00466985230234579,0.00273972602739726
"confirm",0.00467064489101125,0.00412684622067767,0.00547945205479452
"given",0.00402016430733728,0.0100999131190269,0.0136986301369863
"come",0.00361642309068674,0.00347523892267593,0.00547945205479452
"oblig",0.00330703364862313,0.00271503040834057,0.00273972602739726
"acced",0.00295530951680134,0.160729800173762,0.106849315068493
"direct",0.00216829356586025,0.00651607298001738,0.010958904109589
"land",0.00211898483229683,0.00488705473501303,0.00547945205479452
"along",0.00173390557841684,0.012380538662033,0.00821917808219178
"nation",0.00128012686479291,0.00162901824500434,0.00273972602739726
"tract",0.00124758479827273,0.0080364900086881,0.00821917808219178
"acadi",0.00117720706064626,0.00358384013900956,0.0136986301369863
"dominion",0.000992123848547224,0.00293223284100782,0.00273972602739726
"aid",0.000796421891409918,0.000651607298001738,0.00273972602739726
"act",0.00076598963327621,0.0444178974804518,0.0465753424657534
"indian",0.000730089881201372,0.0014118158123371,0.00547945205479452
"across",0.000713221778701036,0.000325803649000869,0.00273972602739726
"citi",0.000668155503308907,0.00477845351867941,0.00273972602739726
"accord",0.0006183887137467,0.00510425716768028,0.0246575342465753
"place",0.000488578394482376,0.00162901824500434,0.00273972602739726
"depart",0.000467352251423066,0.00977410947002606,0.00547945205479452
"abl",0.000448083591640076,0.00119461337966985,0.00273972602739726
"abus",0.000372605173281156,0.00119461337966985,0.00547945205479452
"approv",0.000310686833488809,0.000977410947002606,0.00273972602739726
"english",0.000226372355269097,0.0428974804517811,0.0246575342465753
"compani",0.000172969153690993,0.0014118158123371,0.00547945205479452
"receiv",0.000153440728263436,0.00912250217202433,0.00547945205479452
"day",0.000152775478677207,0.00412684622067767,0.010958904109589
"eighteenth",0.00014756867140477,0.00955690703735882,0.00547945205479452
"acadia",0.000142739778751815,0.000760208514335361,0.00547945205479452
"also",0.000129016371906855,0.0052128583840139,0.010958904109589
"chippawa",0.000124479333379025,0.00162901824500434,0.00547945205479452
"twentytwo",0.00011719636580152,0.00401824500434405,0.00547945205479452
"queen",0.000107505079778058,0.00260642919200695,0.00273972602739726
"annuiti",9.80083631713465e-05,0.00130321459600348,0.00273972602739726
"alexand",9.68661888720642e-05,0.00108601216333623,0.00547945205479452
"grant",8.83629073084064e-05,0.00293223284100782,0.00273972602739726
"within",8.48383567427226e-05,0.00217202432667246,0.00273972602739726
"abovenam",7.74214354162965e-05,0.00173761946133797,0.00273972602739726
"whereof",7.29272306504984e-05,0.00792788879235447,0.00547945205479452
"absolv",2.81548601972159e-05,0.00206342311033884,0.0164383561643836
"thereout",2.73572809346086e-05,0.0248696785403997,0.0136986301369863
"king",2.4530267990939e-05,0.00423544743701129,0.00273972602739726
"chief",2.36584541837561e-05,0.00575586446568202,0.00547945205479452
"acr",2.32015817009708e-05,0.00358384013900956,0.0136986301369863
"fifteenth",1.81873651784527e-05,0.00293223284100782,0.00273972602739726
"situat",1.7970695787793e-05,0.00369244135534318,0.00547945205479452
"call",1.38857680480161e-05,0.000760208514335361,0.00273972602739726
"follow",1.24261228725769e-05,0.00477845351867941,0.00821917808219178
"excel",1.23998276337725e-05,0.00336663770634231,0.00547945205479452
"bound",1.22360142826779e-05,0.0014118158123371,0.00273972602739726
"abandon",1.07242821228189e-05,0.0028236316246742,0.0219178082191781
"abid",1.07168793914042e-05,0.000543006081668115,0.00547945205479452
"canada",1.0085422947888e-05,0.00260642919200695,0.00273972602739726
"accept",9.52781498633456e-06,0.0028236316246742,0.0191780821917808
"differ",8.82212092816234e-06,0.00108601216333623,0.00273972602739726
"easter",8.18916475036058e-06,0.0130321459600348,0.00821917808219178
"general",5.96302948169558e-06,0.00206342311033884,0.00273972602739726
"white",5.37347387952291e-06,0.00716768027801911,0.00821917808219178
"clark",4.45048989068591e-06,0.01498696785404,0.00821917808219178
"accadi",3.48796748738923e-06,0.000868809730668983,0.00547945205479452
"distanc",2.7819472331723e-06,0.00184622067767159,0.00273972602739726
"river",2.70972589383264e-06,0.0052128583840139,0.00547945205479452
"soon",2.39352526344979e-06,0.00271503040834057,0.00273972602739726
"souther",1.92687073692365e-06,0.0147697654213727,0.010958904109589
"behalf",1.77921387592375e-06,0.0038010425716768,0.010958904109589
"south",1.46282520311512e-06,0.00325803649000869,0.00273972602739726
"certain",1.36310534532614e-06,0.00119461337966985,0.00273972602739726
"aldervill",1.27973136321774e-06,0.0449609035621199,0.0246575342465753
"aforesaid",1.08312053486753e-06,0.000868809730668983,0.00273972602739726
"creek",8.79043942513963e-07,0.00684187662901824,0.00547945205479452
"peopl",7.7993474290868e-07,0.006624674196351,0.00547945205479452
"contain",4.33695294408296e-07,0.00173761946133797,0.00547945205479452
"arrang",4.22805335395567e-07,0.000868809730668983,0.00273972602739726
"wester",4.1852751411919e-07,0.0226976542137272,0.0136986301369863
"western",3.91024822279289e-07,0.00130321459600348,0.00273972602739726
"provinc",3.74962449337557e-07,0.00314943527367507,0.00273972602739726
"interest",3.52748546662612e-07,0.00705907906168549,0.00547945205479452
"hereaft",3.52463173093494e-07,0.00445264986967854,0.00273972602739726
"dispos",2.68538879069666e-07,0.00228062554300608,0.00273972602739726
"abitibi",2.46466056184058e-07,0.000760208514335361,0.00273972602739726
"divis",2.42256975927103e-07,0.0129235447437011,0.00821917808219178
"upon",1.87007161078797e-07,0.00314943527367507,0.00273972602739726
"north",1.80646266251884e-07,0.00988271068635969,0.00821917808219178
"governor",1.44514645681683e-07,0.00336663770634231,0.00273972602739726
"four",1.24487419778973e-07,0.00369244135534318,0.00821917808219178
"agent",1.14492269283899e-07,0.00162901824500434,0.00273972602739726
"east",1.0232927024417e-07,0.00108601216333623,0.00273972602739726
"per",1.01876829134652e-07,0.00304083405734144,0.00273972602739726
"commenc",8.44599511022531e-08,0.00108601216333623,0.00273972602739726
"affair",8.12561243068421e-08,0.00108601216333623,0.00547945205479452
"tribe",8.01778604952903e-08,0.000868809730668983,0.00273972602739726
"assign",4.4277137555489e-08,0.00456125108601216,0.00273972602739726
"due",3.66352756579893e-08,0.0023892267593397,0.00273972602739726
"rice",3.35412731945074e-08,0.00499565595134665,0.00273972602739726
"liberti",2.43041432442757e-08,0.00369244135534318,0.00273972602739726
"line",2.41503319153797e-08,0.00412684622067767,0.00273972602739726
"near",2.07071842562266e-08,0.00304083405734144,0.00273972602739726
"nineteenth",2.06554006341284e-08,0.00499565595134665,0.00273972602739726
"enter",1.80668821149351e-08,0.00466985230234579,0.00273972602739726
"father",1.40551354744044e-08,0.00477845351867941,0.00273972602739726
"twenti",1.18822373370256e-08,0.00271503040834057,0.00273972602739726
"person",1.13412608345906e-08,0.00423544743701129,0.00273972602739726
"made",1.11958487540334e-08,0.0014118158123371,0.00273972602739726
"nine",1.0684823524454e-08,0.00477845351867941,0.00273972602739726
"becom",1.0306720934501e-08,0.00510425716768028,0.00273972602739726
