"Term","Importance"
"herebi",12.7192264171882
"district",11.6222398801261
"said",11.3699671217159
"reserv",10.3380011529368
"pay",10.2062636622327
"first",8.6752244562716
"tract",7.87613504854885
"year",7.86854747532662
"agre",7.46520152380576
"northwest",7.11205566344355
"know",6.72514240037391
"river",6.6987022159138
"describ",6.65381901929959
"given",6.48653918401479
"otherwis",6.29389465467067
"repres",6.11791084822179
"pursuant",5.98838540639665
"affix",5.96164578043679
"yield",5.83184187331408
"inhabit",5.50259227195119
"witnesseth",5.49345850590459
"commission",5.2199078104603
"payment",5.06070378669422
"make",4.96099593063923
"allow",4.86809836040612
"paid",4.83038234607875
"consider",4.77488631411317
"protect",4.6805911144111
"hereaft",4.68036896081086
"set",4.66511764855633
"herein",4.37411507005755
"attach",4.33518493330844
"oblig",4.32599591293409
"undersign",4.29326158392097
"parti",4.12046549105402
"children",4.09923781071918
"duli",4.01420681960397
"confirm",3.87892765723638
"respons",3.87201979933936
"solemn",3.86792250899691
"part",3.8506744203995
"written",3.84930833147614
"five",3.83858440398508
"western",3.81224909235224
"releas",3.70089272332944
"limit",3.65013903791722
"dispos",3.55379416606141
"properti",3.52826319916086
"will",3.49737955320764
"commenc",3.43678355035566
"queen",3.4148996624573
"agreement",3.40646294791143
"great",3.38489974408674
"land",3.38481137062145
"howev",3.37562205885751
"west",3.35801908233345
"wester",3.30667594783529
"articl",3.29214403588939
"white",3.24189714583859
"hand",3.20104635876339
"dollar",3.16045337079811
"becom",3.15823451399991
"mention",3.14955449941735
"free",3.05388270428436
"boundari",3.02131150900131
"indian",3.01319525763597
"sold",2.98989920552931
"william",2.97447662905591
"grant",2.96555824558683
"notifi",2.94962635129887
"general",2.87762812095851
"interfer",2.82805404714574
"truli",2.82499541852553
"english",2.82297928563632
"bring",2.78606837313413
"date",2.77689158115137
"twentyf",2.76861058971623
"now",2.7669320242555
"stipul",2.66583192318025
"direct",2.65313931097942
"georg",2.62167813848718
"includ",2.62125873656712
"seal",2.59448076921278
"money",2.59248069501449
"surrend",2.51772391946593
"assum",2.5166638857805
"bound",2.50512283005986
"sever",2.49914328588345
"conclud",2.492433321127
"titl",2.47516952284494
"satisfact",2.43425507324108
"band",2.42789383805509
"eight",2.41783069468451
"one",2.39869773201934
"south",2.35792828063037
"say",2.35682535750028
"everi",2.35152532118655
"final",2.31529122629564
"heir",2.30779531029961
"squar",2.29017593211645
"war",2.28002526643623
"aforesaid",2.27122319634661
"negoti",2.26662688092675
"interest",2.23780505360051
