"Term","Importance"
"herebi",6.50266392081044
"reserv",5.71826583850338
"district",5.60681549136628
"said",5.52117716223492
"pay",5.13891919014692
"tract",4.66054001665771
"otherwis",4.11766383434067
"describ",4.0223465234567
"year",3.97372851765781
"confirm",3.64998378954105
"consider",3.60765669936553
"given",3.5444002470995
"affix",3.4764458387711
"northwest",3.38956949063921
"agre",3.15282391361371
"river",3.14571187626999
"land",3.08726657951091
"first",3.05301944980214
"know",2.77298734517282
"pursuant",2.76112053459243
"inhabit",2.74385874680308
"witnesseth",2.70242015544223
"commission",2.70163434061256
"yield",2.62938080309465
"duli",2.49639574899328
"made",2.38160046678283
"parti",2.37258025608696
"limit",2.31545166346211
"payment",2.29494250561695
"surrend",2.27745762461159
"commenc",2.25517252260323
"properti",2.2476977406251
"solemn",2.178719638074
"undersign",2.16582710395278
"oblig",2.16234136230189
"will",2.11725827432724
"negoti",2.07997457265994
"day",2.07012571726694
"repres",2.02683800867233
"say",2.01898755186165
"herein",1.99724508195994
"hereaft",1.97382339923178
"written",1.97327941195702
"allow",1.9613294689012
"give",1.9344464253156
"attach",1.91183062614403
"aforesaid",1.85580413473956
"becom",1.84571983227397
"queen",1.84534413538351
"great",1.795897628771
"boundari",1.78722819010713
"articl",1.78720105323059
"protect",1.78372133665595
"band",1.78344437139352
"assum",1.76227616641491
"forev",1.76021290344531
"observ",1.75182644950575
"mark",1.75069471453823
"heir",1.73876031875865
"grant",1.73113063129476
"proceed",1.7310911472014
"notifi",1.70876937988396
"date",1.68815491349761
"council",1.66332606513887
"william",1.66184137604633
"wester",1.63276115409539
"make",1.62678263505807
"west",1.60451711521227
"twentyf",1.59044658530493
"white",1.57959075508372
"conven",1.55071159632019
"indic",1.54700671287182
"whole",1.53681739527313
"releas",1.51262078092031
"five",1.49448191809935
"includ",1.46420987852686
"unit",1.46189823104948
"superintend",1.41536587358941
"reason",1.41204864628711
"valu",1.41101030259687
"third",1.41098319593156
"governor",1.40963641122252
"sold",1.40813613792883
"father",1.40518499572977
"bound",1.40113484945296
"defin",1.39915548465645
"dollar",1.39346128306759
"wherea",1.38208526743209
"norther",1.3668080182843
"set",1.36626557893643
"offend",1.36053285589232
"mention",1.35209862518847
"thousand",1.35083051100954
"conclud",1.34943216771784
"squar",1.34559089839258
"enter",1.34455930289253
"general",1.3268548050026
"eight",1.31157897004447
"western",1.31049030522523
"english",1.26974706577442
"promis",1.26702006697033
"respons",1.2518249434691
"upon",1.24163241746102
"island",1.23971385516596
"howev",1.23356233152394
"entitl",1.23049417413163
"shall",1.22732212172197
"currenc",1.21035581755428
"successor",1.2058514048272
"east",1.20070873732453
"behalf",1.19734368850461
"august",1.17508644069711
"settlement",1.16802308593125
"chippewa",1.12141020112399
"honor",1.11524607812301
"georg",1.10539298697823
"bring",1.06320169673969
"money",1.04845803700928
"assembl",1.04245490196801
"understood",1.0297788130775
"ever",1.01329798920639
"area",1.00100150250438
"away",1.00100150250438
"chosen",1.00100150250438
"clear",1.00100150250438
"complet",1.00100150250438
