"Feature","Gain","Cover","Frequency"
"successor",0.537039511508999,0.0761873885556816,0.0428265524625268
"unto",0.204415995488717,0.11995461176852,0.0685224839400428
"indian",0.0736808028001837,0.0999351596693143,0.0685224839400428
"thousand",0.0451832521353594,0.0184794942454207,0.0171306209850107
"hundr",0.034464922687839,0.00729453720213973,0.00642398286937901
"pound",0.0286185453566183,0.0153995785378505,0.012847965738758
"confirm",0.0280178361063539,0.0121575620035662,0.019271948608137
"caus",0.0158425344874001,0.00583562976171178,0.00856531049250535
"within",0.00477698426320725,0.0069703355487113,0.00856531049250535
"use",0.00425984525170935,0.011266007456638,0.012847965738758
"angl",0.00316408216763316,0.00340411736099854,0.00428265524625268
"annuiti",0.00297653476400981,0.00275571405414168,0.00428265524625268
"give",0.00278145334886215,0.00851029340249635,0.0149892933618844
"heir",0.00169138767805228,0.0594099529907603,0.0492505353319058
"appoint",0.00131977050361817,0.00413357108121251,0.00642398286937901
"abandon",0.000933393775469448,0.0049440752147836,0.0107066381156317
"promis",0.000852632099111876,0.00178310909385638,0.00214132762312634
"ottawa",0.000820371196924418,0.0069703355487113,0.00642398286937901
"control",0.000785045046255457,0.0069703355487113,0.00642398286937901
"agent",0.000712530498960739,0.00624088182849733,0.0107066381156317
"affair",0.000624574155224204,0.00162100826714216,0.00428265524625268
"affix",0.000470450337851721,0.0908575133733182,0.0556745182012848
"island",0.000433955230584318,0.00405252066785541,0.00642398286937901
"grant",0.000423781074216734,0.0266655859944886,0.0149892933618844
"accord",0.000387164070685169,0.00453882314799805,0.00642398286937901
"father",0.000348674053345,0.00486302480142649,0.00428265524625268
"present",0.000307893619837124,0.0170205868049927,0.0171306209850107
"observ",0.000286300522524436,0.002998865294213,0.00428265524625268
"acadi",0.000266923407297049,0.000891554546928189,0.00214132762312634
"bay",0.000232149988930552,0.00332306694764143,0.0107066381156317
"back",0.000229984274244065,0.00551142810828335,0.00856531049250535
"acknowledg",0.00022723261766685,0.0153185281244934,0.0321199143468951
"gabriel",0.000224767511398443,0.00170205868049927,0.00214132762312634
"britain",0.000219033020480588,0.00583562976171178,0.00642398286937901
"inhabit",0.00021643291531928,0.0105365537364241,0.0149892933618844
"abus",0.000213354842988373,0.00259361322742746,0.00428265524625268
"ninth",0.000173123221448565,0.00137785702707084,0.00214132762312634
"distanc",0.000170891732262762,0.00210731074728481,0.00428265524625268
"peopl",0.000170727496387119,0.00543037769492624,0.00642398286937901
"aforesaid",0.000157537661988508,0.00632193224185443,0.019271948608137
"opposit",0.000150132150313857,0.00170205868049927,0.00214132762312634
"honor",0.000150060782804135,0.00226941157399903,0.00214132762312634
"abid",0.00012601787723904,0.00332306694764143,0.00856531049250535
"adjut",0.000119807161522428,0.00818609174906792,0.00856531049250535
"six",0.000118457921812882,0.00680823472199708,0.00856531049250535
"articl",0.000101781638205226,0.00486302480142649,0.00642398286937901
"propos",8.76768674533481e-05,0.00470092397471227,0.00428265524625268
"princip",8.62620971764036e-05,0.00307991570757011,0.00428265524625268
"outlet",7.89107209638383e-05,0.00226941157399903,0.00214132762312634
"seven",7.32979520730622e-05,0.00137785702707084,0.00214132762312634
"describ",4.79038204956595e-05,0.00283676446749878,0.00856531049250535
"fifteen",4.54907762680356e-05,0.00137785702707084,0.00214132762312634
"wit",4.23598142701948e-05,0.0257740314475604,0.0235546038543897
"children",4.15724107507665e-05,0.0020262603339277,0.00214132762312634
"claus",4.1052766070607e-05,0.00226941157399903,0.00214132762312634
"gracious",4.07739518883406e-05,0.00137785702707084,0.00214132762312634
"parcel",4.03825152107221e-05,0.00178310909385638,0.00214132762312634
"tract",3.80048716026971e-05,0.00226941157399903,0.00214132762312634
"accept",3.596540910748e-05,0.00324201653428433,0.00856531049250535
"nation",3.21369673494083e-05,0.0228562165667045,0.012847965738758
"command",3.16259648286291e-05,0.00178310909385638,0.00428265524625268
"cash",2.8986046493563e-05,0.00445777273464095,0.00428265524625268
"consent",2.88432417792864e-05,0.00210731074728481,0.00214132762312634
"toronto",2.60338081849234e-05,0.00226941157399903,0.00214132762312634
"french",1.95386591400774e-05,0.00324201653428433,0.00856531049250535
"number",1.92114854550688e-05,0.00842924298913924,0.00856531049250535
"defect",1.86889331935654e-05,0.0173447884584211,0.0149892933618844
"subject",1.71702980127174e-05,0.00105365537364241,0.00214132762312634
"common",1.70166905992153e-05,0.0020262603339277,0.00214132762312634
"convey",1.61909200738284e-05,0.00218836116064192,0.00428265524625268
"hold",1.61750623211952e-05,0.0102123520829956,0.0149892933618844
"explain",1.45523792875054e-05,0.00153995785378505,0.00214132762312634
"absolv",1.45172422014966e-05,0.002998865294213,0.00856531049250535
"account",1.39859486832711e-05,0.00259361322742746,0.00856531049250535
"good",1.18090926242261e-05,0.000972604960285297,0.00214132762312634
"canadian",1.14902561837004e-05,0.00137785702707084,0.00428265524625268
"five",1.0304311469542e-05,0.00218836116064192,0.00428265524625268
"ireland",9.68367897533328e-06,0.00210731074728481,0.00214132762312634
"dispos",7.97755815790837e-06,0.000972604960285297,0.00214132762312634
"admeasur",5.97712476957028e-06,0.00178310909385638,0.00428265524625268
"sum",5.91785802535211e-06,0.0218836116064192,0.0364025695931477
"other",5.59182559324559e-06,0.00178310909385638,0.00214132762312634
"molest",5.37045683317575e-06,0.00210731074728481,0.00428265524625268
"agre",4.0200459237284e-06,0.00153995785378505,0.00214132762312634
"tribe",3.01000661393302e-06,0.00153995785378505,0.00428265524625268
"appropri",2.73196560872813e-06,0.00810504133571081,0.00856531049250535
"lord",2.55251611317273e-06,0.00761873885556816,0.00428265524625268
"save",2.12468185313884e-06,0.0020262603339277,0.00214132762312634
"william",1.22628059916937e-06,0.00210731074728481,0.00214132762312634
"abl",7.40925777196339e-07,0.00210731074728481,0.00214132762312634
"deliv",6.9342874802135e-07,0.00186415950721349,0.00214132762312634
"estat",6.77642868185496e-07,0.00226941157399903,0.00214132762312634
"also",6.22214784730393e-07,0.00332306694764143,0.00428265524625268
"bank",5.42330348532905e-07,0.000810504133571081,0.00214132762312634
"arrang",5.20541456652683e-07,0.00324201653428433,0.00642398286937901
"cours",4.67940914380927e-07,0.00405252066785541,0.00428265524625268
"help",4.16496326265198e-07,0.00210731074728481,0.00214132762312634
"conced",3.38181112808015e-07,0.00413357108121251,0.00428265524625268
"alien",2.67202369580837e-07,0.00170205868049927,0.00214132762312634
"twentyf",2.15936374476496e-07,0.00988815042956719,0.0107066381156317
"georg",2.03528924480305e-07,0.00243151240071324,0.00214132762312634
"eighti",1.91442587985535e-07,0.00251256281407035,0.00428265524625268
"fulli",1.76850640545171e-07,0.00105365537364241,0.00214132762312634
"date",1.48974612778327e-07,0.00243151240071324,0.00214132762312634
"huron",1.41946596636588e-07,0.00121575620035662,0.00214132762312634
"march",1.28688243504584e-07,0.00348516777435565,0.00428265524625268
"taken",1.27055859821227e-07,0.00194520992057059,0.00214132762312634
"agreement",1.15399398882831e-07,0.00137785702707084,0.00214132762312634
"immigr",1.13090757516108e-07,0.00316096612092722,0.00428265524625268
"benevol",1.04742691276858e-07,0.0050251256281407,0.00642398286937901
"forc",8.70689934696358e-08,0.00137785702707084,0.00214132762312634
"degre",4.21370608697958e-08,0.00137785702707084,0.00214132762312634
"thereon",3.39103480372928e-08,0.00113470578699951,0.00214132762312634
"next",3.32648540891206e-08,0.00194520992057059,0.00214132762312634
"acquit",3.29983257992596e-08,0.00121575620035662,0.00214132762312634
"accur",1.44878135579615e-08,0.00153995785378505,0.00214132762312634
"enter",9.79668424777991e-09,0.00105365537364241,0.00214132762312634
"east",9.20570744980665e-09,0.00145890744042795,0.00214132762312634
"certain",8.93027269277734e-09,0.00364726860106987,0.00214132762312634
"discuss",8.33452202840187e-09,0.00210731074728481,0.00214132762312634
"alexand",4.08014247206046e-09,0.00235046198735614,0.00214132762312634
"afraid",2.82699669245852e-09,0.00235046198735614,0.00214132762312634
"intersect",2.66474266155694e-09,0.00137785702707084,0.00214132762312634
